author,original_message,reply_emojis,encoded
e.rinh,IT WAS JACK,:evilJack:,40
abuffaloherd,yeah,:mad:,4
bureikuz,don't worry ill figure out 😈,:erinnnnnnnnnnnnnn:,22
bombard21,@pizza 💅🏻 academic weapon check,:lisaCat:,0
bombard21,He's sleeping,:joever:,6
bombard21,Caus eu made him wake up at 5,:erinnnnnnnnnnnnnn:,22
e.rinh,you know last night idk what was wrong with me but i was not tired and i was fully like i could go for a run rn,:heheHarrison:,1
bombard21,this sisint any vegetarian options left,:mad:,4
e.rinh,we should go to slyvia park,https://cdn.discordapp.com/emojis/954378740958363748.webp?size=128&quality=lossless,19
oc2906,No u rich one,no you,31
e.rinh,we were just two lovers,:yay:,23
wobkobi,Home time,:pigWoozy:,27
wobkobi,Dairy shut,:angy:,20
abuffaloherd,i won't break my promise,:skull~1:,5
bureikuz,@pizza 💅🏻 u in bed?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,lisa up so late recently,:erinnnnnnnnnnnnnn:,22
e.rinh,we should go to the beach in summer,https://cdn.discordapp.com/emojis/954378740958363748.webp?size=128&quality=lossless,19
wobkobi,is that whats it call,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,ITS NOT EVen 90 MILES,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,@pizza 💅🏻 can I have your home pod,:pigWoozy:,27
bombard21,@pizza 💅🏻 can i have ur new car,:pigWoozy:,27
e.rinh,discord drama,DRAMA,45
oc2906,i have a few fb links but my pc and laptop won't sync so I'll to do it when I go home,:pigWoozy:,27
abuffaloherd,@arin 🐢 @chedder 🧀 @pizza 💅🏻 https://www.youtube.com/watch?v=fYJdr7mp9SE,:adian:,30
e.rinh,we need adians cat one here,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
csonic235,😴,:gigaChad:,33
gentleman_nathan,You’re yeah,no you,31
gentleman_nathan,You’re no you,no you,31
bombard21,Drama,DRAMA,45
csonic235,john,:angy:,20
csonic235,https://twitter.com/Oliviaamacc/status/1691762724026581338 @pizza 💅🏻,:erinnnnnnnnnnnnnn:,22
e.rinh,:erinnnnnnnnnnnnnn:,:erinnnnnnnnnnnnnn:,22
gentleman_nathan,and make me answer a quwstion i dont know,:lisaCat:,0
wobkobi,Froglisa,:angy:,20
bureikuz,:clownCat:,:clown~1:,9
e.rinh,@rs bloodz 🤡  omg adian that is so sla_,:adian:,30
wobkobi,you're not smart enough for the server,:erinnnnnnnnnnnnnn:,22
gentleman_nathan,No,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
oc2906,do i bring my g305 or model d unwireless tomorrow,:erinnnnnnnnnnnnnn:,22
oc2906,actually retarded you,no you,31
bureikuz,erin if u get vencord u can get a plugin that will let u use nitro emojis,:ohHello:,16
bureikuz,pay with your soul,:erinnnnnnnnnnnnnn:,22
wobkobi,it only triggers if you spell right,DRAMA,45
buddymmmm1,TA explained a ton of the info for the lab,:erinnnnnnnnnnnnnn:,22
gentleman_nathan,damn,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
bombard21,drama,DRAMA,45
wobkobi,@pizza 💅🏻 higher,:yay:,23
wobkobi,I expect 10000 by tomorrow,:erinnnnnnnnnnnnnn:,22
buddymmmm1,Who r u voting for,:lisaCat:,0
e.rinh,i am first time voter,:joever:,6
e.rinh,i couldnt vote,:catcry:,17
e.rinh,DRAMA,DRAMA,45
wobkobi,Some are quite funny,:ohHello:,16
wobkobi,Good thing the cat won,:queenLuma:,46
wobkobi,😎,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
oc2906,lying just like when you say you get on,:mad:,4
oc2906,you died,no you,31
buddymmmm1,Then come back again,:thinking:,39
gentleman_nathan,No you,no you,31
bureikuz,im too stressed out and need a gaming break,:catcry:,17
bombard21,Why was time at home when u could just rember it in class,:erinnnnnnnnnnnnnn:,22
abuffaloherd,I have headaches,:ohNoFull:,34
bureikuz,Lisa I will buy you pizza if you don't say slay for 1 week,:thinking:,39
gentleman_nathan,no more slay for you monalisa,:nathanielScary:,21
bureikuz,@pizza 💅🏻 when will u stop studying,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
bureikuz,ITS FARTING TIME,:no:,35
bureikuz,@pizza 💅🏻 can u wait like 10 mins,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
abuffaloherd,the fact that it was used 29k times legitimately,:yay:,23
e.rinh,:mad:,:atayrun:,47
abuffaloherd,the joke bein stanford,:skull~1:,5
oc2906,@fartnite anyone?,:ken:,3
wobkobi,@arin 🐢 lab 4,:ohHello:,16
gentleman_nathan,Thanks,:erinnnnnnnnnnnnnn:,22
gentleman_nathan,"$100 million, to build a time machine, go through $100 million door again",:erinnnnnnnnnnnnnn:,22
gentleman_nathan,no you,no you,31
e.rinh,no u :yay:,:yay:,23
wobkobi,no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u,no you,31
wobkobi,no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u no u,no you,31
buddymmmm1,Where’s the sound board,:mad:,4
yungmarin,Stop the cap im wfh rn and I’m sure he’d never cheat on u,SHUT UP,7
wobkobi,Where did barbie Lisa go,:yay:,23
bombard21,We need to chat shit,:lisaCat:,0
bombard21,Copy that,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
oc2906,no I hope it catches fire,no you,31
wobkobi,@pizza 💅🏻,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
buddymmmm1,do u think you left them in wz?,:thinking:,39
wobkobi,Don’t you dare,:erinnnnnnnnnnnnnn:,22
e.rinh,wait for harrison,:mad:,4
wobkobi,If you choose pt chev we can eat at mine,:thinking:,39
wobkobi,But I thought Parnell won,:mad:,4
wobkobi,Jack???,:evilJack:,40
abuffaloherd,It is comedy gold,:catCry:,2
bombard21,Me and lisa,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
oc2906,lisa and erin no slay,no you,31
Robo-Glasse「𝕊𝕨𝕖𝕒𝕣 ℂ𝕠𝕦𝕟𝕥𝕖𝕣」,"**@brioche 🦑** said the following words: 
`slay x 1`",no you,31
oc2906,your so unfunny even nathan wouldn't laugh,:nathanielScary:,21
e.rinh,slay,:catCry:,2
wobkobi,You could be sad together but noooooo,:joever:,6
e.rinh,THEN WHEN YOURE DONE UR GONNA BE SAD,:joever:,6
Robo-Glasse「𝕊𝕨𝕖𝕒𝕣 ℂ𝕠𝕦𝕟𝕥𝕖𝕣」,"**@brioche 🦑** said the following words: 
`slay x 1`",:mad:,4
wobkobi,Say the word and I will,:erinnnnnnnnnnnnnn:,22
e.rinh,drama,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,yeah,:catCry:,2
e.rinh,TAYLORS MUSIC :yay:,:slayy:,11
wobkobi,can you like not?,:erinnnnnnnnnnnnnn:,22
bombard21,Like 1:30 or 2,:yay:,23
bombard21,Or Lisa's car,:no:,35
wobkobi,@loklo 🐒 ?,:thinking:,39
bombard21,Can we have an archive channel for memories,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
abuffaloherd,@pizza 💅🏻 you have failed.,:angy:,20
e.rinh,WHY DID U SAY DRAMA,DRAMA,45
bombard21,jkjkjkjkjkjkjkkj,:catCry:,2
e.rinh,drama,DRAMA,45
buddymmmm1,Not slay,no you,31
buddymmmm1,Like long,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
oc2906,never to hear slay or drama again and instakill lisa,:mad:,4
bombard21,give admin i took u to costco,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
bombard21,i let u put whatever u wanted in the trolley,:lisaCat:,0
bureikuz,maybe charge r phone,:lisaCat:,0
wobkobi,Not your John how sad,SHUT UP,7
oc2906,So I may have bought another vehicle with 2 wheels,:erinnnnnnnnnnnnnn:,22
oc2906,FAT SHIT,:erinnnnnnnnnnnnnn:,22
wobkobi,more like gay,no you,31
bombard21,💀,:mad:,4
oc2906,rise and shine coming from  the child past her bedtime smh,:mad:,4
wobkobi,go back to bed,no you,31
e.rinh,🍔,https://cdn.discordapp.com/emojis/954378740958363748.webp?size=128&quality=lossless,19
wobkobi,you better buy it,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
buddymmmm1,PRINT THAT AND FRAME IT,:lisaCat:,0
abuffaloherd,if you couldn't say gossip what word would you use,:llama:,32
e.rinh,NOOOO not beauden 😭😭,:catThumbsUp:,48
e.rinh,their coach ain’t gonna be happy,:joever:,6
e.rinh,@pizza 💅🏻  think they just got a try,:thinking:,39
wobkobi,Not good not good,:catThumbsUp:,48
abuffaloherd,@chedder 🧀 @pizza 💅🏻 @arin 🐢 https://www.youtube.com/watch?v=30CSgzCqUNc,:ohNoFull:,34
wobkobi,Looks bad,:no:,35
oc2906,ITS MAN JERRY,:lisaCat:,0
oc2906,FAX,:catThumbsUp:,48
gentleman_nathan,Oi who’s keen to ram raid jacks pbtech tmr I’m down,:evilJack:,40
e.rinh,discord LLAMA,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
gentleman_nathan,No you,no you,31
gentleman_nathan,DONT BE MEAN TO BLAKE,:ohNoFull:,34
bureikuz,the guns are just pure bliss tho,:gun:,18
gentleman_nathan,NO YOU,no you,31
e.rinh,DISCORD LLAMA,:llama:,32
e.rinh,:clown:,:clown~1:,9
buddymmmm1,still a billion dollars,:no:,35
e.rinh,okay okay,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
bombard21,💀,:harryBarbie:,26
bombard21,Tony Clear,:catThumbsUp:,48
gentleman_nathan,built different smh,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
bombard21,how nice would it be to get my father a gift for fathers day,:skull~1:,5
e.rinh,oh damn okay,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
e.rinh,i will check em out,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
csonic235,sometimes my cats get spooked by their own reflection in the glass,:skull~1:,5
oc2906,loser,no you,31
buddymmmm1,No u,:lisaCat:,0
deadzoneparty,come over here,:thinking:,39
e.rinh,i catch 2:15 bus,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
wobkobi,yes,:lisaCat:,0
bombard21,@pizza 💅🏻 great driving,:skull~1:,5
bombard21,And getting use to going 50,:lisaCat:,0
oc2906,Woman driver moment...,:skull~1:,5
wobkobi,🤪,:catThumbsUp:,48
bombard21,laugh and die as you hold up traffic,:lisaCat:,0
wobkobi,ok racist,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
lisa38,:erinnnnnnnnnnnnnn: :erinnnnnnnnnnnnnn:,:erinnnnnnnnnnnnnn:,22
wobkobi,rude,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
wobkobi,you just worked a day,:lisaCat:,0
e.rinh,🦙,:llama:,32
bombard21,@pizza 💅🏻 well make a google drive or something,:yay:,23
bombard21,@pizza 💅🏻 u at uni today,:no:,35
bureikuz,FORWARD FULL SPEED DONT STOP,:erinnnnnnnnnnnnnn:,22
wobkobi,@fartnite [Free Vbucks](<https://www.youtube.com/watch?v=dQw4w9WgXcQ>),:ohHello:,16
abuffaloherd,@pizza 💅🏻 come drive through the 'kura,:catThumbsUp:,48
wobkobi,it was jack,:evilJack:,40
e.rinh,CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH CRASH,:erinnnnnnnnnnnnnn:,22
wobkobi,And your toxic,no you,31
bombard21,?,:yay:,23
bombard21,but maybe ur just use to remuera drivers,:skull~1:,5
wobkobi,:COPIUM:,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
wobkobi,@pizza 💅🏻 have you got burger fuel before,:no:,35
wobkobi,You are not allowed to remove more than 2 ingredients,:erinnnnnnnnnnnnnn:,22
bombard21,@pizza 💅🏻 be an academic weapon,:catThumbsUp:,48
bombard21,Close discord,:no:,35
abuffaloherd,@pizza 💅🏻 https://cdn.discordapp.com/attachments/280203622384402433/1144754735094698085/FtFzuxwXwAE8C34.png,:skull~1:,5
wobkobi,lummmmmma,:queenLuma:,46
csonic235,hey lisa considering i was the brainchild behind this server can i have admin? i will never use it for anything,:thinking:,39
Robo-Glasse「𝕊𝕨𝕖𝕒𝕣 ℂ𝕠𝕦𝕟𝕥𝕖𝕣」,"`no u` : 1785 times
`queen` : 999 times
`no you` : 385 times
`slay` : 237 times
`ham` : 72 times
`drama` : 33 times
`not giving` : 26 times
`lombard` : 24 times
`john` : 22 times
`yas` : 15 times
`train` : 12 times
`vanilla` : 7 times
`like you` : 5 times
`deep` : 5 times
`jalapeno` : 4 times
`public transport` : 3 times
`gets it` : 1 time
`kys` : 0 times
`thats so deep` : 0 times",DRAMA,45
e.rinh,give me like 5,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
abuffaloherd,we should go to the papakura leisure center,https://cdn.discordapp.com/emojis/954378740958363748.webp?size=128&quality=lossless,19
bombard21,i dont want to get robbed,:evilJack:,40
bombard21,@pizza 💅🏻 https://vt.tiktok.com/ZSLnB8q5W/,:lisaCat:,0
wobkobi,Ur mums house,:catThumbsUp:,48
e.rinh,3,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
e.rinh,87.5 :catCry:,:queenLuma:,46
wobkobi,bad graph,no you,31
abuffaloherd,make it look like my web dev,:lisaCat:,0
abuffaloherd,@pizza 💅🏻 i had to clean my nails they were an eyesore,:lisaCat:,0
wobkobi,Nathan couldn’t walk straight,:nathanielScary:,21
e.rinh,watching friends,:lisaCat:,0
gentleman_nathan,Welcome back to Germany Ms Lisa,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
e.rinh,bed time :tired: :tired: :tired:,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,@pizza 💅🏻 if you’re coming in today can you finish the other hand Ty,:yay:,23
bureikuz,English,:erinnnnnnnnnnnnnn:,22
bombard21,ya know,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
buddymmmm1,Your a school friend,no you,31
bureikuz,Jack is groping me,:evilJack:,40
bombard21,come join us in the lab,:lisaCat:,0
e.rinh,no @zach 🤓  we are working,:ohHello:,16
abuffaloherd,@pizza 💅🏻,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
buddymmmm1,Wz6,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
wobkobi,you did it again,:mad:,4
wobkobi,you can still make it,:erinnnnnnnnnnnnnn:,22
nekoshay,We stan squid tbh,:squidward:,49
bureikuz,im only productive when i play fortnite,BASED,29
wobkobi,New phones,:harryBarbie:,26
bureikuz,Ifon 15 pro max ultra light + limited edition special,:lisaCat:,0
bombard21,yep buy ut from america,:skull~1:,5
bombard21,ew,no you,31
bombard21,should eat some llama never tried it before,:llama:,32
e.rinh,some real twitter llama…,:llama:,32
wobkobi,dont,:no:,35
abuffaloherd,i've got an idea for a new robo glasse feature,:taytea2:,50
csonic235,SHODAN takes over the citadel [colourized],https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
gentleman_nathan,no you,no you,31
bombard21,So I was like naaaa,:no:,35
wobkobi,@pizza 💅🏻 ur fault,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
bureikuz,woke up at 1am,:erinnnnnnnnnnnnnn:,22
bureikuz,who is going into uni,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
bureikuz,WHO IS GONNA FAIL THE FIRST TEST,https://cdn.discordapp.com/emojis/750768558975484065.webp?size=128&quality=lossless,15
gentleman_nathan,hi Lisa,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
wobkobi,You don’t want me to get pizza do you,:lisaCat:,0
abuffaloherd,@pizza 💅🏻 @arin 🐢 https://www.youtube.com/watch?v=x_QmvZRS85U,:erinnnnnnnnnnnnnn:,22
wobkobi,Yes,:no:,35
abuffaloherd,Can you save me a slice i have class,:gigaChad:,33
wobkobi,Wow,:erinnnnnnnnnnnnnn:,22
e.rinh,no go look,:erinnnnnnnnnnnnnn:,22
e.rinh,hope you went outside :mad:,https://cdn.discordapp.com/emojis/1070869015343411210.webp?size=128&quality=lossless,8
bombard21,@pizza 💅🏻 @pizza 💅🏻 @pizza 💅🏻 @pizza 💅🏻 @pizza 💅🏻 @pizza 💅🏻 @pizza 💅🏻,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
bombard21,ill ask ur sister,:no:,35
bombard21,dont drag erin into this she ahs slow itnernet,:lachlan:,43
bureikuz,ur late,:nathanielScary:,21
bureikuz,alright no more monopoly go,:thinking:,39
gentleman_nathan,Yea get it,:erinnnnnnnnnnnnnn:,22
oc2906,ok miss learners license 1 week old dented car,:mad:,4
wobkobi,You can’t be any worst,:lachlan:,43
wobkobi,ty for the pizza,:no:,35
gentleman_nathan,wait hold up,:thinking:,39
gentleman_nathan,You’re drama,no you,31
gentleman_nathan,You’re not giving you’re monalisa,no you,31
wobkobi,well you better give me my pizza im owed,:no:,35
wobkobi,fartnite rn,:SCsleepybb4:,51
bombard21,better gamer than lisa,:Bubbles_Whimper:,52
e.rinh,yeah should be fine just bring rain coat,https://cdn.discordapp.com/emojis/881182531536449587.gif?size=128&quality=lossless,14
buddymmmm1,R u,:no:,35
buddymmmm1,Got the desk yet?,:no:,35
wobkobi,ur pc?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
buddymmmm1,"When it’s time, ask one of the billion nerds in here to set up the drivers",:yesPingu:,53
bombard21,Come down,:lisaCat:,0
wobkobi,idk if it would fit,:no:,35
wobkobi,no ur not,:lisaCat:,0
csonic235,no,:lachlan:,43
wobkobi,https://tenor.com/view/penguins-madagascar-penguins-of-madagascar-cute-and-cuddly-gif-26546403,:ohHello:,16
wobkobi,cloudy with a chance of meatballs,:no:,35
wobkobi,frist time problay,:catcry:,17
wobkobi,ur screen might flash,DRAMA,45
bureikuz,Omg slayyyy,https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
wobkobi,do you have a steam account?,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
abuffaloherd,@pizza 💅🏻 can fish think,:thinking:,39
abuffaloherd,@pizza 💅🏻 based on chad's response will you eat a fish,:no:,35
wobkobi,make her learn,:lachlan:,43
gentleman_nathan,Let’s go puddle jumping,:lisaCat:,0
gentleman_nathan,Why not?,:skull~1:,5
gentleman_nathan,bring raincoats t@r,:yesPingu:,53
wobkobi,Stop snaking out of deals,:ken:,3
abuffaloherd,how tf did jack say slay more than i do,:evilJack:,40
e.rinh,Lisa has cause she’s slay,:yay:,23
wobkobi,we outside urs,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
wobkobi,breaking in,:gun:,18
e.rinh,Catch the 30 if you’re going to paknsave royal oak @pizza 💅🏻,:queenLuma:,46
e.rinh,or 309 if you just wanna come here :lisaCat:,:lisaCat:,0
e.rinh,the thing is the security cameras connected to the internet,DRAMA,45
wobkobi,:yay:,:yay:,23
gentleman_nathan,@pizza 💅🏻,:lisaCat:,0
bureikuz,Did u get a chance to pet them,:catcry:,17
bombard21,Where was it,:lisaCat:,0
wobkobi,no,:yesPingu:,53
wobkobi,fartnite is cancelled,no you,31
bombard21,round 2 of drama,DRAMA,45
e.rinh,how often does everyone think about their wedding,:thinking:,39
buddymmmm1,Lunch,:gun:,18
wobkobi,@besorry,:yesPingu:,53
bombard21,Hi,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
abuffaloherd,and if you get me jalapeno poppers,no you,31
wobkobi,You just have to send me $12,no you,31
wobkobi,It’s better than the other option,:erinnnnnnnnnnnnnn:,22
wobkobi,It’s better than the other option,:erinnnnnnnnnnnnnn:,22
wobkobi,@fartnite,https://cdn.discordapp.com/emojis/771016190101291008.webp?size=128&quality=lossless,37
wobkobi,@arin 🐢 @pizza 💅🏻 https://youtu.be/bl5KydBlwZU?si=JNLZcdGH_neWMuBi,:catCry:,2
bureikuz,Spread this attitude to chad,:lisaCat:,0
e.rinh,does the onehunga line stop there 👀,:ohHello:,16
wobkobi,:00_AzusaHehe:,:mad:,4
wobkobi,@pizza 💅🏻 how ppg,https://cdn.discordapp.com/emojis/841886073519996979.gif?size=128&quality=lossless,24
wobkobi,@pizza 💅🏻 why is there new guns this late in the season?,:gun:,18
gentleman_nathan,wow that was short,:erinnnnnnnnnnnnnn:,22
bombard21,aye?,DRAMA,45
wobkobi,jack,:evilJack:,40
e.rinh,DRAMA LLAMA,DRAMA,45
wobkobi,"@pizza 💅🏻 will judge, jury, and executioner",https://cdn.discordapp.com/emojis/1069084325720637500.webp?size=128&quality=lossless,10
e.rinh,https://tenor.com/view/hiding-under-covers-tired-sleepy-hiding-under-blanket-good-night-gif-14070056,:mad:,4
abuffaloherd,are you asking for it,:catCry:,2
oc2906,should grow up and have your own room withy our pc so you can game all day,:erinnnnnnnnnnnnnn:,22
bombard21,shouldve stayed at david jones,:lisaCat:,0
bombard21,https://tenor.com/view/rage-o-meter-gif-10599638,:erinnnnnnnnnnnnnn:,22
bombard21,c he gets it,:yesPingu:,53
bombard21,@nithin 👾@loklo 🐒 @pizza 💅🏻 https://www.youtube.com/watch?v=cOYc0OHhqY4,:erinnnnnnnnnnnnnn:,22
wobkobi,GM :mad:,:mad:,4
e.rinh,get harrison to teach you how to park,:heheHarrison:,1
e.rinh,not sleigh,:nathanielScary:,21
bombard21,very giving,:yay:,23
e.rinh,we could go in the afternoon,:yay:,23
bombard21,dont be poo,:erinnnnnnnnnnnnnn:,22
bombard21,my parent said yes,:evilJack:,40
abuffaloherd,~~You’re such a nerd~~,:slayy:,11
e.rinh,hopefully the warriors win :lisaCat:,:queenLuma:,46
wobkobi,Llama in the cbd today,:llama:,32
gentleman_nathan,The BCIS server is so depressing like bro,:lisaCat:,0
gentleman_nathan,pizza,:erinnnnnnnnnnnnnn:,22
bombard21,@pizza 💅🏻 gaming time,:catCry:,2
gentleman_nathan,get well soon Lisa,:yay:,23
bureikuz,ur doing better than me lisa,:catCry:,2
abuffaloherd,you're not very accommodating :/,:catThumbsUp:,48
wobkobi,Why is it so cold,:pigCold:,25
wobkobi,no $?,:catThumbsUp:,48
wobkobi,When I get back,:yay:,23
e.rinh,no,:catThumbsUp:,48
e.rinh,omg call them rn !!,:yay:,23
wobkobi,wow so rich,:queenLuma:,46
wobkobi,oh @pizza 💅🏻 give me % and emoji again,:clown:,54
wobkobi,0.004% right?,:yay:,23
e.rinh,no,:catThumbsUp:,48
oc2906,you need some meth,:thinking:,39
wobkobi,@pizza 💅🏻 why are you the dj in the car?,:yay:,23
wobkobi,My bot should react when it detects llama or drama with 🦙,:llama:,32
wobkobi,I guess you are now 🤷,:thinking:,39
csonic235,getting very close to crazy there haha,:gigaChad:,33
abuffaloherd,fuck you,:skull~1:,5
bombard21,Next she's gonna be telling us that she's anti vax,:skull~1:,5
